folder,label,emotion
21 Savage - Bank Account,anger,1
Adele - Hello,sadness,3
Adele - When We Were Young,love,2
After School - DIVA,love,2
Alan Walker - Faded,love,2
Alessia Cara - Here,anger,1
Alok - Hear Me Now,sadness,3
Alpines - Alright,love,2
Alpines - Out of View, joy,0
Aly & AJ - Take Me, joy,0
Angel Haze - Battle Cry,sadness,3
Ariana Grande - Dangerous Woman,anger,1
Ariana Grande - Into You,anger,1
Ariana Grande - Side To Side,sadness,3
Astrid S - Hurts So Good,sadness,3
BANKS - 27 Hours,sadness,3
BANKS - Before I Ever Met You,sadness,3
BANKS - Beggin For Thread, joy,0
BANKS - Fuck Em Only We Know,anger,1
BANKS - Trainwreck,sadness,3
Becky G - Sin Pijama, joy,0
Beyoncé - Sorry,sadness,3
Billie Eilish - bitches broken hearts,sadness,3
Billie Eilish - Bored,sadness,3
Billie Eilish - idontwannabeyouanymore,sadness,3
Billie Eilish - my boy, joy,0
Billie Eilish - ocean eyes,sadness,3
Billie Eilish - you should see me in a crown,anger,1
Bruno Mars - 24K Magic,anger,1
Bruno Mars - That's What I Like, joy,0
Bryson Tiller - Don't,anger,1
Bryson Tiller - Exchange,anger,1
Cage The Elephant - Trouble,anger,1
Calum Scott - Dancing On My Own,sadness,3
Calvin Harris - My Way,sadness,3
Calvin Harris - This Is What You Came For, joy,0
Camila Cabello - I Have Questions,sadness,3
Cardi B - I Like It, joy,0
Carlos Vives - Al Filo de Tu Amor, joy,0
Carlos Vives - La Bicicleta,sadness,3
Cascada - Everytime We Touch,sadness,3
Catey Shaw - Night Go Slow,sadness,3
Charlie Puth - Attention, joy,0
Childish Gambino - Redbone,anger,1
Chord Overstreet - Hold On,love,2
Coldplay - Adventure of a Lifetime, joy,0
Coldplay - Hymn for the Weekend,sadness,3
Crystal Castles - Crimewave, joy,0
Daddy Yankee - Dura, joy,0
Daya - Hide Away, joy,0
"Daya - Sit Still, Look Pretty", joy,0
Demi Lovato - Heart Attack,sadness,3
Demi Lovato - Sorry Not Sorry,anger,1
Desiigner - Panda, joy,0
Desiigner - Tiimmy Turner,anger,1
DJ Snake - Let Me Love You,sadness,3
DJ Snake - Middle,sadness,3
DNCE - Cake By The Ocean, joy,0
Drake - Controlla,anger,1
Drake - Hotline Bling,sadness,3
Drake - Jumpman, joy,0
Drake - One Dance,anger,1
Drake - Passionfruit, joy,0
Dua Lipa - Garden,sadness,3
Dua Lipa - Hotter Than Hell,sadness,3
Dua Lipa - New Rules,sadness,3
Ed Sheeran - Castle on the Hill, joy,0
Ed Sheeran - Galway Girl,love,2
Ed Sheeran - Happier, joy,0
Ed Sheeran - Perfect, joy,0
Ed Sheeran - Shape of You, joy,0
Enrique Iglesias - EL BAÑO, joy,0
Fitz and The Tantrums - HandClap, joy,0
Flo Rida - My House, joy,0
Florida Georgia Line - H.O.L.Y,sadness,3
Frank Ocean - Pink + White,anger,1
French Montana - Unforgettable, joy,0
Future - Mask Off, joy,0
"G-Eazy - Me, Myself & I", joy,0
Galantis - No Money,anger,1
Girl's Day - Thirsty,anger,1
Halsey - Bad At Love, joy,0
Halsey - Hopeless,sadness,3
Halsey - Strangers, joy,0
Harry Styles - Sign of the Times, joy,0
Hayley Kiyoko - Cliffs Edge, joy,0
Hayley Kiyoko - Sleepover,sadness,3
Imagine Dragons - Believer,sadness,3
Imagine Dragons - Thunder, joy,0
Imagine Dragons - Whatever It Takes,sadness,3
In Love With a Ghost - We'll Be Together,love,2
INNA - Nirvana,sadness,3
INNA - Tropical,love,2
James Arthur - Can I Be Him,sadness,3
James Arthur - Say You Won't Let Go, joy,0
James TW - When You Love Someone,sadness,3
Jen Foster - I Didn't Just Kiss Her,love,2
Jon Bellion - All Time Low,sadness,3
Jonas Blue - Fast Car, joy,0
Jonas Blue - Perfect Strangers, joy,0
Julia Michaels - Issues,sadness,3
Justin Bieber - Love Yourself,sadness,3
Justin Bieber - Sorry,sadness,3
Kanye West - Gorgeous, joy,0
Kate Linn - Your Love - Radio Edit, joy,0
Kendrick Lamar - DNA,anger,1
Kendrick Lamar - HUMBLE, joy,0
Kendrick Lamar - LOVE. FEAT. ZACARI,love,2
Kevin Gates - 2 Phones,anger,1
Khalid - Location, joy,0
Khalid - Young Dumb & Broke, joy,0
Kygo - Stole the Show,sadness,3
Lady Gaga - Hey Girl, joy,0
Lana Del Rey - Born To Die,sadness,3
Lana Del Rey - High By The Beach,love,2
Lana Del Rey - Love,love,2
Lana Del Rey - National Anthem, joy,0
Lana Del Rey - Off To The Races, joy,0
Lana Del Rey - This Is What Makes Us Girls, joy,0
Lana Del Rey - Young And Beautiful, joy,0
LemonGrass - Sing Me to Sleep - Alan Walker Cover,sadness,3
Lil Peep - Save That Shit,love,2
Lil Uzi Vert - XO Tour Llif3,sadness,3
Little Mix - Shout Out to My Ex,sadness,3
Logic - 1-800-273-8255,sadness,3
Lowell - LGBT,love,2
Luis Fonsi - Despacito, joy,0
Lukas Graham - 7 Years,sadness,3
Maggie Rogers - Alaska, joy,0
Major Lazer - Cold Water,sadness,3
